Sales Summary Export,,,,,,,Generated 5/19/23 6:43 PM,
1/13/23 - 1/13/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,400.02",$13.86,$0.00,$146.62,$675.00,"$3,235.50",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,132,138,1072.03,$0.14,$2.40,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,60,1747.17,130.22,0,0.0761234552311198,-30,1847.39
,Gift Card,37,334.05,0,0,0,,334.05
,Cash,32,378.08,0,0,0,,378.08
,Other,1,533.55,0,0,0,,533.55
,Total,130,2992.85,130.22,0,0.0507998038795085,-30,3093.07
,,,,,,,,
,Credit Types,,,,,,,
,Amex,4,135.96,21.45,0,0.158888888888889,,157.41
,Discover,3,51,6.1,0,0.119607843137255,,57.1
,Mastercard,27,661.99,39.02,0,0.0592423897365824,,701.01
,Visa,26,898.22,63.65,0,0.0735916748373295,-30,931.87
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,533.55,0,0,0,,533.55
,,,,,,,,
,,,,,,,Paid In Total,$35.20
,,,,,,,,
,,,,,,,Deposit Sales Collected,$177.63
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,3,3,21,0,21,1.26,
,Wholesale,1,156,533.55,0,533.55,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,46,151,793,262.91,530.09,0,
,"Cookies, Bars & Tarts",24,57,237,42.46,164.54,0,
,Cakes,2,2,66,0,66,0,
,Holiday Menus,,,,,,,
,Hot Sandwiches,5,7,111,19.96,91.04,5.46,
,Cold Sandwiches,3,4,56,28,28,0,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,8,12,158,20.05,137.95,0,
,Cold Drinks,1,1,8.5,0,8.5,0.51,
,Catering,,,,,,,
,Coffee Bar,17,23,111.2,0.83,110.37,6.63,
,Breads,71,177,1406.8,697.82,708.98,0,
,No Category,0,,,,0,0,
,Total,,,3502.05,1072.03,2400.02,13.86 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,130,593,3502.05,1072.03,2400.02,13.86,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Future Orders,1,16.5,,,,,
,Takeout,137,2383.52,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,13.86,230.91,,,,
,Non Taxable,125,,2199.11,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,6,12,,,,,
,Rebel Bread,32,92,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,10% Munson,1,1,,,,,
,Birthday Rewards,2,10,,,,,
,Bread Waste,1,582.8,,,,,
,Food Waste,1,28,,,,,
,Pastry Waste,1,241,,,,,
,Reward Dollars,6,68.23,,,,,
,Shift Meal,1,37,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,134,"$1,861.47",,,,,
,No Service,4,$538.55,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$378.08,,,,,
,Cash Adjustments,,-$1.05,,,,,
,Cash before Tipouts,,$377.03,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$130.22,,,,,
,Total Cash,,$377.03,,,,,
