Sales Summary Export,,,,,,,Generated 5/19/23 6:44 PM,
1/15/23 - 1/15/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,$108.67,$1.86,$0.00,$6.40,$0.00,$116.93,,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,2,2,9.33,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,1,65.86,6.4,0,0.1,,72.26
,Cash,,,,,,,
,Other,,,,,,,
,Total,1,65.86,6.4,0,0.1,,72.26
,,,,,,,,
,Credit Types,,,,,,,
,Visa,1,65.86,6.4,0,0.1,,72.26
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Deposit Sales Collected,$44.67
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,,,,,,,
,Breakfast Pastry,1,2,11,0,11,0,
,Breakfast Sandwiches,1,2,31,0,31,1.86,
,Cakes,,,,,,,
,Catering,,,,,,,
,Coffee Bar,,,,,,,
,Cold Drinks,,,,,,,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",,,,,,,
,Hot Sandwiches,,,,,,,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Soup,,,,,,,
,White Wine,,,,,,,
,Beer,,,,,,,
,Salads,,,,,,,
,Toasts & Tartines,,,,,,,
,Pizza,,,,,,,
,Red Wine,,,,,,,
,No Category,2,12,76,9.33,66.67,0,
,Total,,,118,9.33,108.67,1.86 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,2,16,118,9.33,108.67,1.86,
,No Revenue Center,0,,,,0,,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Takeout,2,108.67,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,1.86,31,,,,
,Non Taxable,2,,77.67,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Reward Dollars,1,9.33,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,0,$0.00,,,,,
,No Service,2,$108.67,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$0.00,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$0.00,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$6.40,,,,,
,Total Cash,,$0.00,,,,,
