Sales Summary Export,,,,,,,Generated 5/19/23 6:46 PM,
1/18/23 - 1/18/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,506.10",$87.85,$0.00,$335.94,$0.00,"$1,929.89",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,43,40,63.4,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,34,1600.01,335.94,0,0.221085883514314,,1935.95
,Gift Card,2,25.44,0,0,0,,25.44
,Cash,5,22.57,0,0,0,,22.57
,Other,,,,,,,
,Total,41,1648.02,335.94,0,0.216805421103582,,1983.96
,,,,,,,,
,Credit Types,,,,,,,
,Amex,2,211.64,101.2,0,0.506,,312.84
,Mastercard,16,816.13,147.07,0,0.189157556270096,,963.2
,Visa,16,572.24,87.67,0,0.161752767527675,,659.91
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Paid In Total,$54.07
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,,,,,,,
,Desserts,,,,,,,
,Grab and Go Bar,,,,,,,
,Cold Drinks,4,4,18,0,18,1.08,
,Coffee Bar,1,1,5.5,0,5.5,0.33,
,Zero Proof- Bar,2,4,44,0,44,2.64,
,Entrees,5,6,174,0,174,10.44,
,Starters,9,11,149,2,147,8.82,
,White Wine,3,3,81,0,81,4.86,
,Red Wine,3,3,71,0,71,4.26,
,Beer,11,14,82,0,82,4.92,
,Spirits,7,8,130,0,130,7.8,
,Salads,6,6,79,21.4,57.6,3.46,
,Pasta,6,8,157,0,157,9.42,
,Pizza,3,3,79,29,50,3,
,No Category,26,32,500,11,489,26.82,
,Total,,,1569.5,63.4,1506.1,87.85 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,8,39,697,0,697,41.82,
,Bar,11,36,502,2,500,29.28,
,Online Ordering,,,,,,,
,No Revenue Center,19,28,370.5,61.4,309.1,16.75,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,34,1306.5,,,,,
,Take Out,6,199.6,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,87.85,1464.1,,,,
,Non Taxable,8,,42,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Comp Item,1,2,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Shift Meal,1,48,,,,,
,Teacher/School- 20%,2,6,,,,,
,Team Discount - 20%,1,7.4,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,15,$410.50,,,,,
,Dinner,24,"$1,089.60",,,,,
,No Service,1,$6.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$10.00,2,2,0.7%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$22.57,,,,,
,Cash Adjustments,,$30.65,,,,,
,Cash before Tipouts,,$53.22,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$335.94,,,,,
,Total Cash,,$53.22,,,,,
