Sales Summary Export,,,,,,,Generated 5/19/23 8:28 PM,
1/29/23 - 1/29/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,675.88",$37.65,$0.00,$181.62,$300.00,"$2,195.15",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,98,99,201.87,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,67,1656.81,181.62,0,0.111666512957669,,1838.43
,Gift Card,14,120.5,0,0,0,,120.5
,Cash,18,236.22,0,0,0,,236.22
,Other,,,,,,,
,Total,99,2013.53,181.62,0,0.103981908224315,,2195.15
,,,,,,,,
,Credit Types,,,,,,,
,Amex,4,123.61,22,0,0.184100418410042,,145.61
,Discover,1,10,0,0,0,,10
,Mastercard,30,636,82.51,0,0.132930562268407,,718.51
,Visa,32,887.2,77.11,0,0.088,,964.31
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,37,67,399,57.5,341.5,0,
,Breakfast Pastry,57,134,701,133.37,567.63,0,
,Breakfast Sandwiches,14,18,249,0,249,14.94,
,Cakes,,,,,,,
,Catering,,,,,,,
,Coffee Bar,32,46,207.45,0,207.45,12.45,
,Cold Drinks,10,10,46.3,5,41.3,0,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",19,24,104,6,98,0,
,Hot Sandwiches,7,11,171,0,171,10.26,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Soup,,,,,,,
,White Wine,,,,,,,
,Beer,,,,,,,
,Salads,,,,,,,
,Toasts & Tartines,,,,,,,
,Pizza,,,,,,,
,Red Wine,,,,,,,
,No Category,0,,,,0,0,
,Total,,,1877.75,201.87,1675.88,37.65 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,3,8,68,0,68,1.86,
,No Revenue Center,95,302,1809.75,201.87,1607.88,35.79,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,36,649.65,,,,,
,Future Order,1,2,,,,,
,Takeout,62,1024.23,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,37.65,627.45,,,,
,Non Taxable,87,,1048.43,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,7,14,,,,,
,Rebel Bread Club Loaf,13,33.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Bread Waste,1,10,,,,,
,Pastry Waste,1,123,,,,,
,Reward Dollars,1,5.37,,,,,
,Shift Meal,1,16,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,40,$758.48,,,,,
,Lunch,57,$877.40,,,,,
,No Service,2,$40.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$10.00,1,1,0.6%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$236.22,,,,,
,Cash Adjustments,,$0.33,,,,,
,Cash before Tipouts,,$236.55,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$181.62,,,,,
,Total Cash,,$236.55,,,,,
