Sales Summary Export,,,,,,,Generated 5/19/23 8:29 PM,
1/31/23 - 1/31/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,683.24",$45.80,$0.00,$177.39,$200.00,"$2,106.43",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,114,117,385.66,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,85,1564.53,177.39,0,0.11257853652345,,1741.92
,Gift Card,11,113.5,0,0,0,,113.5
,Cash,19,251.01,0,0,0,,251.01
,Other,,,,,,,
,Total,115,1929.04,177.39,0,0.105091352875661,,2106.43
,,,,,,,,
,Credit Types,,,,,,,
,Amex,7,103.95,8.12,0,0.0755348837209302,,112.07
,Discover,2,42.4,6.3,0,0.1575,,48.7
,Mastercard,16,282.95,23.6,0,0.0802721088435374,,306.55
,Visa,60,1135.23,139.37,0,0.122879562687357,,1274.6
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,35,67,425.5,141.6,283.9,0,
,Breakfast Pastry,55,125,649,153.85,495.15,0,
,Breakfast Sandwiches,12,20,279,59.43,219.57,13.17,
,Cakes,,,,,,,
,Catering,,,,,,,
,Coffee Bar,43,53,241,4.19,236.81,14.2,
,Cold Drinks,7,8,36.4,0.88,35.52,0,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",20,29,112,6.91,105.09,0,
,Hot Sandwiches,16,21,326,18.8,307.2,18.43,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Soup,,,,,,,
,White Wine,,,,,,,
,Beer,,,,,,,
,Salads,,,,,,,
,Toasts & Tartines,,,,,,,
,Pizza,,,,,,,
,Red Wine,,,,,,,
,No Category,0,,,,0,0,
,Total,,,2068.9,385.66,1683.24,45.80 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,4,12,122,17.3,104.7,3.93,
,No Revenue Center,111,311,1946.9,368.36,1578.54,41.87,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,40,670.22,,,,,
,Takeout,77,1013.02,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,45.8,763.58,,,,
,Non Taxable,90,,919.66,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,2,6,,,,,
,Rebel Bread Club Loaf,8,20.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,1,5,,,,,
,Bread Waste,1,84,,,,,
,Munson- 10%,1,1,,,,,
,Pastry Waste,1,141,,,,,
,Reward Dollars,5,38.36,,,,,
,Shift Meal,2,85.5,,,,,
,Teachers- 20%,1,4.3,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,43,$563.44,,,,,
,Lunch,65,"$1,003.37",,,,,
,No Service,9,$116.43,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$10.00,1,2,0.6%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$251.01,,,,,
,Cash Adjustments,,$15.66,,,,,
,Cash before Tipouts,,$266.67,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$177.39,,,,,
,Total Cash,,$266.67,,,,,
