Sales Summary Export,,,,,,,Generated 5/19/23 8:30 PM,
2/4/23 - 2/4/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,575.50",$152.13,$0.00,$484.67,$0.00,"$3,212.30",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,62,58,203,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,53,2670.92,484.67,0,0.192176843774782,,3155.59
,Cash,3,56.71,0,0,0,,56.71
,Other,,,,,,,
,Total,56,2727.63,484.67,0,0.192176843774782,,3212.3
,,,,,,,,
,Credit Types,,,,,,,
,Amex,1,30,0,0,0,,30
,Discover,1,47.7,9.9,0,0.22,,57.6
,Mastercard,21,1287.9,243.21,0,0.200172839506173,,1531.11
,Visa,30,1305.32,231.56,0,0.187954545454545,,1536.88
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,1,1,10,0,10,0,
,Desserts,4,4,48,0,48,2.88,
,Grab and Go Bar,1,3,97,0,97,5.82,
,Cold Drinks,4,4,17,0,17,1.02,
,Coffee Bar,4,4,20.5,0,20.5,1.23,
,Zero Proof- Bar,4,4,28,5,23,1.38,
,Entrees,2,3,87,0,87,5.22,
,Starters,22,40,325,35,290,17.4,
,White Wine,4,4,48,0,48,2.88,
,Red Wine,7,7,153,16,137,8.22,
,Beer,18,26,149,0,149,8.94,
,Spirits,13,22,321,15,306,18.36,
,Salads,18,22,331,31,300,18,
,Pasta,14,21,428,72,356,21.36,
,Pizza,22,24,686,29,657,39.42,
,No Category,1,20,30,0,30,0,
,Total,,,2778.5,203,2575.5,152.13 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,24,107,1410,0,1410,84.6,
,Bar,10,40,530,109,421,25.26,
,Online Ordering,9,19,423,0,423,25.38,
,No Revenue Center,14,43,415.5,94,321.5,16.89,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,44,1933.5,,,,,
,Takeout,9,423,,,,,
,Take Out,5,219,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,152.13,2535.5,,,,
,Non Taxable,4,,40,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Shift Meal,2,203,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,11,$181.00,,,,,
,Dinner,43,"$2,349.50",,,,,
,No Service,4,$45.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$4.00,1,1,0.2%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$56.71,,,,,
,Cash Adjustments,,$0.73,,,,,
,Cash before Tipouts,,$57.44,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$484.67,,,,,
,Total Cash,,$57.44,,,,,
