Sales Summary Export,,,,,,,Generated 5/19/23 8:30 PM,
2/2/23 - 2/2/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,685.26",$6.53,$0.00,$123.72,$600.00,"$2,415.51",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,87,96,373.01,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,54,1434.13,129.32,0,0.08933715588408,,1563.45
,Gift Card,29,271.5,0,0,0,,271.5
,Cash,11,140.69,0,0,0,,140.69
,Other,1,482.47,0,0,0,,482.47
,Total,95,2328.79,129.32,0,0.0587412333296995,,2458.11
,,,,,,,,
,Credit Types,,,,,,,
,Amex,7,225.64,38.9,0,0.174439461883408,,264.54
,Discover,2,148.96,4.8,0,0.0324324324324324,,153.76
,Mastercard,16,341.59,33.21,0,0.0943734015345269,,374.8
,Visa,29,717.94,52.41,0,0.0723245704823018,,770.35
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,482.47,0,0,0,,482.47
,,,,,,,,
,,,,,,,Paid In Total,$42.60
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,3,3,30,1.73,28.27,0,
,Wholesale,1,298,482.47,0,482.47,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,41,78,408,41.71,366.29,0,
,"Cookies, Bars & Tarts",19,32,148,16.33,131.67,0,
,Cakes,1,1,30,0,30,0,
,Holiday Menus,,,,,,,
,Hot Sandwiches,5,7,112,32,80,1.92,
,Cold Sandwiches,,,,,,,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,6,6,84,13,71,0,
,Cold Drinks,5,7,38.3,0,38.3,1.26,
,Catering,,,,,,,
,Coffee Bar,13,14,59.5,3.74,55.76,3.35,
,Breads,40,99,666,264.5,401.5,0,
,No Category,0,,,,0,0,
,Total,,,2058.27,373.01,1685.26,6.53 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,91,545,2058.27,373.01,1685.26,6.53,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Future Orders,7,119.44,,,,,
,Takeout,89,1565.82,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,6.53,108.76,,,,
,Non Taxable,91,,1576.5,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,9,20,,,,,
,Rebel Bread,28,73.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,10% Munson,1,1.2,,,,,
,Active Service 20%,1,1.8,,,,,
,Birthday Rewards,2,10,,,,,
,Bread Waste,1,151,,,,,
,Pastry Waste,1,25,,,,,
,Reward Dollars,2,11.51,,,,,
,Shift Meal,1,79,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,91,"$1,155.29",,,,,
,No Service,5,$529.97,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$5.00,1,1,0.3%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$140.69,,,,,
,Cash Adjustments,,-$0.16,,,,,
,Cash before Tipouts,,$140.53,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$129.32,,,,,
,Total Cash,,$140.53,,,,,
