Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/22/23 6:16 PM,Unnamed: 8
2/10/23 - 2/10/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,378.83",$10.94,$0.00,$111.50,$400.00,"$2,901.27",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,112,115,449.45,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,54,1215.71,110.3,0,0.09048029203067963,,1326.01
,Gift Card,36,270.25,0,0,0,,270.25
,Cash,25,421.18,0,0,0,,421.18
,Other,1,915.63,0,0,0,,915.63
,Total,116,2822.77,110.3,0,0.04586412078522036,,2933.07
,,,,,,,,
,Credit Types,,,,,,,
,Amex,5,76.93,9.65,0,0.12739273927392739,,86.58
,Discover,3,60.65,7.01,0,0.11634854771784232,,67.66
,Mastercard,20,506.29,40.88,0,0.08082245947014631,,547.17
,Visa,26,571.84,52.76,0,0.09139887397141619,,624.6
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,915.63,0,0,0,,915.63
,,,,,,,,
,,,,,,,Paid In Total,$83.55
,,,,,,,,
,,,,,,,Deposit Sales Collected,$51.75
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,4,4,46,16,30,0,
,Wholesale,1,344,915.63,0,915.63,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,47,93,604,46.6,557.4,0,
,"Cookies, Bars & Tarts",19,45,178,0,178,0,
,Cakes,,,,,,,
,Holiday Menus,,,,,,,
,Hot Sandwiches,7,7,104,1.6,102.4,6.14,
,Cold Sandwiches,,,,,,,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,8,10,103,0,103,0,
,Cold Drinks,5,6,24.8,0,24.8,0.45,
,Catering,,,,,,,
,Coffee Bar,15,17,78.85,6.25,72.6,4.35,
,Breads,51,121,774,379,395,0,
,No Category,0,,,,0,0,
,Total,,,2828.28,449.45,2378.83,10.94 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,109,647,2828.28,449.45,2378.83,10.94,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Future Orders,5,101,,,,,
,Takeout,110,2277.83,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,10.94,182.5,,,,
,Non Taxable,104,,2196.33,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,13,32,,,,,
,Rebel Bread,30,78,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,10% Munson,1,2.2,,,,,
,Active Service 20%,1,3,,,,,
,Birthday Rewards,2,10,,,,,
,Bread Waste,1,257,,,,,
,Pastry Waste,1,32,,,,,
,Reward Dollars,1,5.4,,,,,
,Shift Meal,1,28,,,,,
,Teachers 20%,1,1,,,,,
,Team 20%,1,0.85,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,112,"$1,463.20",,,,,
,No Service,3,$915.63,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$33.30,4,5,1.4%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$421.18,,,,,
,Cash Adjustments,,$0.29,,,,,
,Cash before Tipouts,,$421.47,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$110.30,,,,,
,Total Cash,,$421.47,,,,,
