Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/22/23 6:35 PM,Unnamed: 8
3/2/23 - 3/2/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,819.15",$47.95,$0.00,$205.48,$125.00,"$2,197.58",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,111,113,446.5,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,74,1566.43,220.48,0,0.13689903323750566,,1786.91
,Gift Card,16,151.26,0,0,0,,151.26
,Cash,23,317.01,0,0,0,,317.01
,Other,,,,,,,
,Total,113,2034.7,220.48,0,0.12519092638332907,,2255.18
,,,,,,,,
,Credit Types,,,,,,,
,Amex,4,35.9,9.9,0,0.1783783783783784,,45.8
,Discover,1,17,2.55,0,0.15,,19.55
,Mastercard,30,616.15,70.2,0,0.11393699381624009,,686.35
,Visa,39,897.38,137.83,0,0.14950645406226273,,1035.21
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Paid In Total,$57.60
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,34,66,444,161.09,282.91,0,
,Breakfast Pastry,52,132,689,201.02,487.98,0,
,Breakfast Sandwiches,15,18,250,12.78,237.22,14.23,
,Cakes,1,1,30,0,30,0,
,Catering,,,,,,,
,Coffee Bar,38,46,212.65,8,204.65,12.28,
,Cold Drinks,10,13,56,10.48,45.52,0,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",29,47,177,3.55,173.45,0,
,Hot Sandwiches,19,26,401,49.58,351.42,21.08,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Salads,,,,,,,
,Red Wine,,,,,,,
,White Wine,,,,,,,
,Beer,1,1,6,0,6,0.36,
,Spirits,,,,,,,
,Pizza,,,,,,,
,Soup,,,,,,,
,Toasts & Tartines,,,,,,,
,No Category,0,,,,0,0,
,Total,,,2265.65,446.5,1819.15,47.95 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,3,9,81.5,0,81.5,3.69,
,No Revenue Center,108,341,2184.15,446.5,1737.65,44.26,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,24,615.09,,,,,
,Takeout,89,1204.06,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,47.95,799.29,,,,
,Non Taxable,93,,1019.86,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,4,10,,,,,
,Rebel Bread,14,36,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,3,15,,,,,
,Bread Waste,1,90,,,,,
,Pastry Waste,1,160,,,,,
,Reward Dollars,7,62.3,,,,,
,Shift Meal,2,73.2,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,42,$696.00,,,,,
,Dinner,6,$94.70,,,,,
,Lunch,54,$883.85,,,,,
,No Service,11,$144.60,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$18.00,2,4,1.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$317.01,,,,,
,Cash Adjustments,,$20.04,,,,,
,Cash before Tipouts,,$337.05,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$220.48,,,,,
,Total Cash,,$337.05,,,,,
