Sales Summary Export,,,,,,,Generated 5/17/23 7:25 PM,
5/2/23 - 5/2/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,574.32",$40.11,$0.00,$170.40,$210.00,"$1,994.83",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,132,116,383.98,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,72,1578.54,192.95,0,0.124347489849842,,1771.49
,Gift Card,13,108.5,0,0,0,,108.5
,Cash,29,293.17,0,0,0,,293.17
,Other,,,,,,,
,Total,114,1980.21,192.95,0,0.116259452294158,,2173.16
,,,,,,,,
,Credit Types,,,,,,,
,Amex,7,190.62,28,0,0.151761517615176,,218.62
,Discover,2,23.96,1,0,0.0434782608695652,,24.96
,Mastercard,20,614.61,76.57,0,0.127637939656609,,691.18
,Visa,43,749.35,87.38,0,0.117398898293699,,836.73
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Paid In Total,$178.33
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,40,56,369,83.5,285.5,0,
,Breakfast Pastry,54,109,686,231.4,454.6,0,
,Breakfast Sandwiches,7,7,102,29,73,4.38,
,Cakes,,,,,,,
,Catering,,,,,,,
,Coffee Bar,33,35,159.6,14.08,145.52,8.73,
,Cold Drinks,10,10,50.7,9.2,41.5,2.15,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",13,37,160,0,160,0,
,Hot Sandwiches,12,13,191,0,191,11.46,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Soup,6,8,89,1.8,87.2,5.23,
,White Wine,,,,,,,
,Beer,,,,,,,
,Salads,,,,,,,
,Toasts & Tartines,7,9,118,15,103,6.18,
,Pizza,1,1,33,0,33,1.98,
,Red Wine,,,,,,,
,No Category,0,,,,0,0,
,Total,,,1958.3,383.98,1574.32,40.11 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,1,2,14.5,0,14.5,0.45,
,No Revenue Center,113,283,1943.8,383.98,1559.82,39.66,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,45,608.22,,,,,
,Future Order,1,14.5,,,,,
,Takeout,70,951.6,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,40.11,668.22,,,,
,Non Taxable,91,,906.1,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,4,10,,,,,
,Rebel Bread,12,33.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Bread Waste,1,30,,,,,
,Pastry Waste,2,203,,,,,
,Reward Dollars,3,17.88,,,,,
,Shift Meal,3,83.2,,,,,
,Teachers 20%,2,4.6,,,,,
,Team 20%,1,1.8,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,115,"$1,574.32",,,,,
,No Service,1,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$293.17,,,,,
,Cash Adjustments,,$11.34,,,,,
,Cash before Tipouts,,$304.51,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$192.95,,,,,
,Total Cash,,$304.51,,,,,
