Sales Summary Export,,,,,,,Generated 5/19/23 6:43 PM,
1/12/23 - 1/12/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,272.73",$76.37,$0.00,$746.64,$0.00,"$2,095.74",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,64,60,2950.4,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,47,1349.1,746.64,0,0.588419799982662,,2095.74
,Cash,,,0,,0,,0
,Other,,,,,,,
,Total,47,1349.1,746.64,0,0.588419799982662,,2095.74
,,,,,,,,
,Credit Types,,,,,,,
,Amex,4,124.92,49.52,0,0.420195163343233,,174.44
,Discover,1,6.36,20,0,3.33333333333333,,26.36
,Mastercard,19,558.57,334.6,0,0.639636023016192,,893.17
,Visa,23,659.25,342.52,0,0.550737221230685,,1001.77
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,,,,,,,
,Desserts,,,,,,,
,Grab and Go Bar,,,,,,,
,Cold Drinks,10,13,57.8,16.4,41.4,2.5,
,Coffee Bar,5,6,26.3,0,26.3,1.57,
,Zero Proof- Bar,8,15,179,18,161,9.66,
,Entrees,16,16,464,435,29,1.74,
,Starters,28,33,541,541,0,0,
,White Wine,8,12,164,0,164,9.84,
,Red Wine,15,24,395,28,367,22.02,
,Beer,16,38,217,0,217,13.02,
,Spirits,12,16,244,15,229,13.74,
,Salads,29,31,384,384,0,0,
,Pasta,28,35,665,627,38,2.28,
,Pizza,15,16,446,446,0,0,
,No Category,19,19,440.03,440,0.03,0,
,Total,,,4223.13,2950.4,1272.73,76.37 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,20,142,2103.11,1520,583.11,35,
,Bar,30,132,2120.02,1430.4,689.62,41.37,
,Online Ordering,,,,,,,
,No Revenue Center,0,,,,0,,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,60,1272.73,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,76.37,1272.7,,,,
,Non Taxable,47,,0.03,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Comp Item,152,2950.4,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,6,$0.00,,,,,
,Dinner,54,"$1,272.73",,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$536.50,15,34,42.2%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$0.00,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$0.00,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$746.64,,,,,
,Total Cash,,$0.00,,,,,
