Sales Summary Export,,,,,,,Generated 5/19/23 8:32 PM,
2/6/23 - 2/6/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,937.29",$9.87,$0.00,$102.27,$450.00,"$2,499.43",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,83,94,487.37,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,45,1257.35,112.57,0,0.0885596953867456,,1369.92
,Gift Card,29,251,0,0,0,,251
,Cash,20,210.27,0,0,0,,210.27
,Other,2,766.76,0,0,0,,766.76
,Total,96,2485.38,112.57,0,0.0491866313034435,,2597.95
,,,,,,,,
,Credit Types,,,,,,,
,Amex,7,397.05,33.98,0,0.0857755900542724,,431.03
,Discover,1,31,4,0,0.129032258064516,,35
,Mastercard,15,349.5,28.74,0,0.0828361435365326,,378.24
,Visa,22,479.8,45.85,0,0.0922498088608104,,525.65
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Check,1,50,0,0,0,,50
,Wholesale Close Out,1,716.76,0,0,0,,716.76
,,,,,,,,
,,,,,,,Paid In Total,$104.00
,,,,,,,,
,,,,,,,Deposit Sales Collected,$5.48
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,,,,,,,
,Wholesale,1,168,716.76,0,716.76,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,40,80,417,136.21,280.79,0,
,"Cookies, Bars & Tarts",16,29,109,8.2,100.8,0,
,Cakes,1,1,36,0,36,0,
,Holiday Menus,,,,,,,
,Hot Sandwiches,5,8,124,16,108,4.56,
,Cold Sandwiches,,,,,,,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,8,10,140,25,115,0,
,Cold Drinks,4,4,19.2,0,19.2,0.36,
,Catering,,,,,,,
,Coffee Bar,16,18,83.2,0.75,82.45,4.95,
,Breads,53,114,779.5,301.21,478.29,0,
,No Category,0,,,,0,0,
,Total,,,2424.66,487.37,1937.29,9.87 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,91,432,2424.66,487.37,1937.29,9.87,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine-In,3,83.55,,,,,
,Future Orders,3,109.78,,,,,
,Takeout,88,1743.96,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,9.87,164.45,,,,
,Non Taxable,87,,1772.84,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,9,28,,,,,
,Rebel Bread,22,56,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,20% - Teachers,1,6.95,,,,,
,Birthday Rewards,1,5,,,,,
,Bread Waste,1,54,,,,,
,Comp Check,1,0,,,,,
,Pastry Waste,1,99,,,,,
,Product Donation,1,110,,,,,
,Reward Dollars,3,48.22,,,,,
,Shift Meal,1,79,,,,,
,Team 20%,1,1.2,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,92,"$1,220.53",,,,,
,No Service,2,$716.76,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$210.27,,,,,
,Cash Adjustments,,$0.40,,,,,
,Cash before Tipouts,,$210.67,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$112.57,,,,,
,Total Cash,,$210.67,,,,,
