Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/22/23 6:31 PM,Unnamed: 8
2/27/23 - 2/27/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,790.15",$54.66,$0.00,$196.23,$130.00,"$2,171.04",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,108,109,78.5,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,62,1382.28,188.23,0,0.13986268594611465,,1570.51
,Gift Card,15,119.5,0,0,0,,119.5
,Cash,33,471.61,0,0,0,,471.61
,Other,1,5,0,0,0,,5
,Total,111,1978.39,188.23,0,0.1280563303626097,,2166.62
,,,,,,,,
,Credit Types,,,,,,,
,Amex,7,121.87,19.12,0,0.16,,140.99
,Discover,1,27,4.05,0,0.15,,31.05
,Mastercard,24,604.67,80.5,0,0.13641293296278723,,685.17
,Visa,30,628.74,84.56,0,0.13880499015101772,,713.3
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Toast-Takeout-Reward,1,5,0,0,0,,5
,,,,,,,,
,,,,,,,Paid In Total,$41.00
,,,,,,,,
,,,,,,,Deposit Sales Collected,$45.42
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,36,55,391,53.5,337.5,0,
,Breakfast Pastry,39,68,350,0,350,0,
,Breakfast Sandwiches,14,16,223,0,223,13.38,
,Cakes,1,1,30,0,30,0,
,Catering,,,,,,,
,Coffee Bar,33,40,164.05,0,164.05,9.84,
,Cold Drinks,6,8,34.6,5,29.6,0,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",19,31,136,4,132,0,
,Hot Sandwiches,24,35,540,16,524,31.44,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Salads,,,,,,,
,Red Wine,,,,,,,
,White Wine,,,,,,,
,Beer,,,,,,,
,Spirits,,,,,,,
,Pizza,,,,,,,
,Soup,,,,,,,
,Toasts & Tartines,,,,,,,
,No Category,0,,,,0,0,
,Total,,,1868.65,78.5,1790.15,54.66 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,2,5,65.3,0,65.3,3.92,
,No Revenue Center,105,249,1803.35,78.5,1724.85,50.74,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,24,630.85,,,,,
,Takeout,85,1159.3,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,54.66,911.05,,,,
,Non Taxable,79,,879.1,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,3,6,,,,,
,Rebel Bread,14,35.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Shift Meal,1,35,,,,,
,Team 20%,2,2,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,40,$528.25,,,,,
,Dinner,1,$30.00,,,,,
,Lunch,64,"$1,172.90",,,,,
,No Service,4,$59.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$471.61,,,,,
,Cash Adjustments,,$51.87,,,,,
,Cash before Tipouts,,$523.48,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$188.23,,,,,
,Total Cash,,$523.48,,,,,
