Sales Summary Export,,,,,,,Generated 5/15/23 7:04 PM,
5/1/23 - 5/1/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,314.77",$19.49,$0.00,$116.56,$340.00,"$2,790.82",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,100,110,485.93,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,51,1311.94,110.8,0,0.0823363305342944,,1422.74
,Gift Card,36,296.5,0,0,0,,296.5
,Cash,19,189.5,0,0,0,,189.5
,Other,1,817.5,0,0,0,,817.5
,Total,107,2615.44,110.8,0,0.0450461438386795,,2726.24
,,,,,,,,
,Credit Types,,,,,,,
,Amex,1,37.92,5.4,0,0.15,,43.32
,Discover,1,19.61,2.78,0,0.15027027027027,,22.39
,Mastercard,20,513.69,41.52,0,0.0779718309859155,,555.21
,Visa,29,740.72,61.1,0,0.0805324897851588,,801.82
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,817.5,0,0,0,,817.5
,,,,,,,,
,,,,,,,Deposit Sales Collected,$64.58
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,,,,,,,
,Wholesale,1,84,385.5,0,385.5,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,47,101,651,105.97,545.03,0,
,"Cookies, Bars & Tarts",17,38,200,22.93,177.07,0,
,Cakes,,,,,,,
,Holiday Menus,,,,,,,
,Hot Sandwiches,4,5,78,0,78,4.68,
,Cold Sandwiches,,,,,,,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,9,12,166,14,152,9.12,
,Cold Drinks,4,4,19.3,6,13.3,0.81,
,Catering,1,1,432,0,432,0,
,Coffee Bar,17,17,83.4,2.26,81.14,4.88,
,Breads,57,108,785.5,334.77,450.73,0,
,No Category,0,,,,0,0,
,Total,,,2800.7,485.93,2314.77,19.49 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,107,370,2800.7,485.93,2314.77,19.49,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine-In,1,17,,,,,
,Future Orders,7,267.04,,,,,
,Takeout,102,2030.73,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,19.49,324.44,,,,
,Non Taxable,99,,1990.33,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,10,22,,,,,
,Rebel Bread,28,84.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,1,5,,,,,
,Bread Waste,1,169.5,,,,,
,Pastry Waste,1,61,,,,,
,Promotional,1,20,,,,,
,Reward Dollars,7,59.93,,,,,
,Shift Meal,1,64,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,107,"$1,495.27",,,,,
,No Service,3,$819.50,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$20.00,2,3,0.9%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$189.50,,,,,
,Cash Adjustments,,$0.39,,,,,
,Cash before Tipouts,,$189.89,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$110.80,,,,,
,Total Cash,,$189.89,,,,,
