Sales Summary Export,,,,,,,Generated 5/19/23 6:39 PM,
1/4/23 - 1/4/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,164.73",$7.74,$0.00,$143.87,$250.00,"$2,566.34",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,120,124,699.9,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,74,1241.4,144.1,0,0.115717876444466,,1385.5
,Gift Card,28,267.15,0,0,0,,267.15
,Cash,24,474.65,0,0,0,,474.65
,Other,1,511.78,0,0,0,,511.78
,Total,127,2494.98,144.1,0,0.0712016325481883,,2639.08
,,,,,,,,
,Credit Types,,,,,,,
,Amex,7,173.17,27.66,0,0.160813953488372,,200.83
,Mastercard,32,582.41,64.48,0,0.110203384036917,,646.89
,Visa,35,485.82,51.96,0,0.106438330909314,,537.78
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,511.78,0,0,0,,511.78
,,,,,,,,
,,,,,,,Paid In Total,$154.74
,,,,,,,,
,,,,,,,Deposit Sales Collected,$82.00
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,1,1,16,2.84,13.16,0.79,
,Wholesale,1,125,511.78,0,511.78,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,53,107,557,69,488,0,
,"Cookies, Bars & Tarts",16,39,134,0,134,0,
,Cakes,1,1,36,0,36,0,
,Holiday Menus,,,,,,,
,Hot Sandwiches,2,2,32,0,32,1.92,
,Cold Sandwiches,7,7,96,14,82,0,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,12,15,174,0,174,0,
,Cold Drinks,1,1,4.1,0,4.1,0,
,Catering,,,,,,,
,Coffee Bar,18,19,83.85,0,83.85,5.03,
,Breads,58,170,1219.9,614.06,605.84,0,
,No Category,0,,,,0,0,
,Total,,,2864.63,699.9,2164.73,7.74 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,121,487,2864.63,699.9,2164.73,7.74,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Future Orders,1,36,,,,,
,Takeout,123,2128.73,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,7.74,129.01,,,,
,Non Taxable,118,,2035.72,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,5,12,,,,,
,Rebel Bread,26,67.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Bread Waste,1,531.9,,,,,
,Food Waste,1,14,,,,,
,Pastry Waste,1,69,,,,,
,Reward Dollars,1,5.5,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,122,"$1,652.95",,,,,
,No Service,2,$511.78,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$16.00,1,1,0.7%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$474.65,,,,,
,Cash Adjustments,,$0.19,,,,,
,Cash before Tipouts,,$474.84,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$144.10,,,,,
,Total Cash,,$474.84,,,,,
