Sales Summary Export,,,,,,,Generated 5/19/23 6:42 PM,
1/12/23 - 1/12/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,128.80",$10.40,$0.00,$129.84,$415.00,"$2,684.04",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,98,109,795.65,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,52,1214.63,119.74,0,0.0964727114520053,,1334.37
,Gift Card,36,368.95,0,0,0,,368.95
,Cash,21,294.45,0,0,0,,294.45
,Other,1,603.5,0,0,0,,603.5
,Total,110,2481.53,119.74,0,0.0541031456998527,,2601.27
,,,,,,,,
,Credit Types,,,,,,,
,Amex,5,76.24,4.25,0,0.0562541363335539,,80.49
,Discover,1,100,0,0,0,,100
,Mastercard,18,410.94,61.94,0,0.148697635337895,,472.88
,Visa,28,627.45,53.55,0,0.0825013865779257,,681
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,603.5,0,0,0,,603.5
,,,,,,,,
,,,,,,,Paid In Total,$98.68
,,,,,,,,
,,,,,,,Deposit Sales Collected,$181.45
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,2,3,39,2.74,36.26,2.18,
,Wholesale,1,311,603.5,0,603.5,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,45,113,589,156.7,432.3,0,
,"Cookies, Bars & Tarts",19,42,164,9.99,154.01,0,
,Cakes,1,2,66,0,66,0,
,Holiday Menus,,,,,,,
,Hot Sandwiches,3,4,60,0,60,3.6,
,Cold Sandwiches,2,3,38,24,14,0,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,7,10,141,2.22,138.78,0,
,Cold Drinks,,,,,,,
,Catering,,,,,,,
,Coffee Bar,17,20,90.9,13.75,77.15,4.62,
,Breads,55,150,1133.05,586.25,546.8,0,
,No Category,0,,,,0,0,
,Total,,,2924.45,795.65,2128.8,10.40 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,105,658,2924.45,795.65,2128.8,10.4,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Future Orders,1,16,,,,,
,Takeout,108,2112.8,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,10.4,173.41,,,,
,Non Taxable,101,,1955.39,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,9,22,,,,,
,Rebel Bread,31,100,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,1,4.8,,,,,
,Bread Waste,1,462.55,,,,,
,Food Waste,1,24,,,,,
,Pastry Waste,1,139,,,,,
,Reward Dollars,4,28.3,,,,,
,Shift Meal,1,11,,,,,
,Team 20%,1,4,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,107,"$1,525.30",,,,,
,No Service,2,$603.50,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$42.00,2,6,2.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$294.45,,,,,
,Cash Adjustments,,$0.05,,,,,
,Cash before Tipouts,,$294.50,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$119.74,,,,,
,Total Cash,,$294.50,,,,,
