Sales Summary Export,,,,,,,Generated 5/19/23 6:46 PM,
1/18/23 - 1/18/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,046.48",$13.45,$0.00,$127.67,$510.00,"$2,697.60",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,116,119,676.66,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,56,1324.92,121.37,0,0.091842603102535,,1446.29
,Gift Card,33,327.47,0,0,0,,327.47
,Cash,24,339.25,0,0,0,,339.25
,Other,1,480.69,0,0,0,,480.69
,Total,114,2472.33,121.37,0,0.0570253952592384,,2593.7
,,,,,,,,
,Credit Types,,,,,,,
,Amex,6,181.6,5.95,0,0.0328729281767956,,187.55
,Discover,2,17,2.4,0,0.141176470588235,,19.4
,Mastercard,15,307.77,34.13,0,0.112085385878489,,341.9
,Visa,33,818.55,78.89,0,0.0963247863247863,,897.44
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,480.69,0,0,0,,480.69
,,,,,,,,
,,,,,,,Deposit Sales Collected,$103.90
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,2,3,39,0,39,0,
,Wholesale,1,241,480.69,0,480.69,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,50,100,523,76,447,0,
,"Cookies, Bars & Tarts",18,32,132,13.99,118.01,0,
,Cakes,,,,,,,
,Holiday Menus,,,,,,,
,Hot Sandwiches,5,9,137,30,107,6.42,
,Cold Sandwiches,5,5,70,28,42,0,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,9,10,134,32,102,0,
,Cold Drinks,6,6,28.9,0,28.9,0.45,
,Catering,,,,,,,
,Coffee Bar,23,26,113.55,3.67,109.88,6.58,
,Breads,59,133,1065,493,572,0,
,No Category,0,,,,0,0,
,Total,,,2723.14,676.66,2046.48,13.45 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,114,565,2723.14,676.66,2046.48,13.45,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Future Orders,12,318.79,,,,,
,Takeout,107,1727.69,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,13.45,224.38,,,,
,Non Taxable,110,,1822.1,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,8,20,,,,,
,Rebel Bread,32,97,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,10% Munson,1,2.2,,,,,
,Bread Waste,1,370,,,,,
,Food Waste,1,14,,,,,
,Pastry Waste,1,70,,,,,
,Reward Dollars,2,64.26,,,,,
,Shift Meal,1,32,,,,,
,Team 20%,1,6.4,,,,,
,Veterans 20%,1,0.8,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,117,"$1,565.79",,,,,
,No Service,2,$480.69,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$339.25,,,,,
,Cash Adjustments,,$0.04,,,,,
,Cash before Tipouts,,$339.29,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$121.37,,,,,
,Total Cash,,$339.29,,,,,
