Sales Summary Export,,,,,,,Generated 5/19/23 6:48 PM,
1/21/23 - 1/21/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,834.83",$166.67,$0.00,$509.71,$0.00,"$3,511.21",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,63,62,136,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,51,2813.94,507.71,0,0.190805297495565,,3321.65
,Gift Card,4,60.5,2,0,0.0333611342785655,,62.5
,Cash,4,56.04,0,0,0,,56.04
,Other,,,,,,,
,Total,59,2930.48,509.71,0,0.187336217257234,,3440.19
,,,,,,,,
,Credit Types,,,,,,,
,Amex,8,446.21,79.32,0,0.188430930039197,,525.53
,Discover,1,53.11,7.52,0,0.150099800399202,,60.63
,Mastercard,14,841.28,149.69,0,0.187428786076504,,990.97
,Visa,28,1473.34,271.18,0,0.194928046694173,,1744.52
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Deposit Sales Collected,$71.02
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,5,5,47,2,45,0,
,Desserts,5,8,38,2,36,2.16,
,Grab and Go Bar,,,,,,,
,Cold Drinks,6,10,45.5,5,40.5,2.45,
,Coffee Bar,7,11,65.83,0,65.83,3.96,
,Zero Proof- Bar,6,9,61,0,61,3.66,
,Entrees,3,3,87,0,87,5.22,
,Starters,21,29,363,2.27,360.73,21.64,
,White Wine,5,5,68,0,68,4.08,
,Red Wine,6,7,105,0,105,6.3,
,Beer,23,36,202,8.73,193.27,11.6,
,Spirits,9,10,154,0,154,9.24,
,Salads,15,18,267,21,246,14.76,
,Pasta,10,14,291,0,291,17.46,
,Pizza,34,42,1160,91,1069,64.14,
,No Category,3,3,16.5,4,12.5,0,
,Total,,,2970.83,136,2834.83,166.67 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,22,109,1563.7,0,1563.7,93.42,
,Bar,17,61,816.63,6,810.63,48.65,
,Online Ordering,,,,,,,
,No Revenue Center,23,40,590.5,130,460.5,24.6,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,52,2486.83,,,,,
,Take Out,10,348,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,166.67,2777.33,,,,
,Non Taxable,12,,57.5,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Comp Item,1,6,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,1,5,,,,,
,Reward Dollars,1,6,,,,,
,Shift Meal,3,117,,,,,
,Teacher/School- 20%,1,2,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,16,$640.20,,,,,
,Dinner,46,"$2,194.63",,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$44.00,3,4,1.6%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$56.04,,,,,
,Cash Adjustments,,$0.79,,,,,
,Cash before Tipouts,,$56.83,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$509.71,,,,,
,Total Cash,,$56.83,,,,,
