Sales Summary Export,,,,,,,Generated 5/19/23 8:30 PM,
2/3/23 - 2/3/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,067.55",$120.51,$0.00,$379.55,$0.00,"$2,567.61",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,53,53,73.7,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,50,2137.58,379.55,0,0.187390456441778,,2517.13
,Gift Card,4,50.48,0,0,0,,50.48
,Cash,,,0,,0,,0
,Other,,,,,,,
,Total,54,2188.06,379.55,0,0.182831956453672,,2567.61
,,,,,,,,
,Credit Types,,,,,,,
,Amex,8,479.12,84.94,0,0.187920353982301,,564.06
,Discover,2,131.44,13.75,0,0.110887096774194,,145.19
,Mastercard,19,644.87,116.35,0,0.190894175553733,,761.22
,Visa,21,882.15,164.51,0,0.195856896243824,,1046.66
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,6,7,70,10.9,59.1,0,
,Desserts,2,2,24,0,24,1.44,
,Grab and Go Bar,1,1,29,0,29,1.74,
,Cold Drinks,4,6,25,0,25,1.5,
,Coffee Bar,2,2,7.75,0,7.75,0.46,
,Zero Proof- Bar,3,3,39,0,39,2.34,
,Entrees,,,,,,,
,Starters,20,35,309,2.4,306.6,18.4,
,White Wine,2,2,24,0,24,1.44,
,Red Wine,5,8,134,0,134,8.04,
,Beer,17,29,170,2.4,167.6,10.06,
,Spirits,7,11,165,0,165,9.9,
,Salads,10,11,173,28,145,8.7,
,Pasta,15,18,383,24.2,358.8,21.53,
,Pizza,17,21,588.5,5.8,582.7,34.96,
,No Category,0,,,,0,0,
,Total,,,2141.25,73.7,2067.55,120.51 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,12,50,709,0,709,42.54,
,Bar,23,74,893.25,15.8,877.45,52.65,
,Online Ordering,5,12,285,0,285,17.1,
,No Revenue Center,13,20,254,57.9,196.1,8.22,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,45,1678.55,,,,,
,Takeout,5,285,,,,,
,Take Out,3,104,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,120.51,2008.45,,,,
,Non Taxable,7,,59.1,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Rebel Bread Loaf,1,2.5,,,,,
,Team Dining - Off Shift,5,15.8,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Reward Dollars,1,6.4,,,,,
,Shift Meal,1,47,,,,,
,Teacher/School- 20%,1,2,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,13,$382.60,,,,,
,Dinner,37,"$1,648.95",,,,,
,No Service,3,$36.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$0.00,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$0.00,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$379.55,,,,,
,Total Cash,,$0.00,,,,,
