Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/22/23 6:16 PM,Unnamed: 8
2/11/23 - 2/11/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,628.01",$93.90,$0.00,$232.46,$0.00,"$1,954.37",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,46,43,46.49,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,35,1634.84,229.46,0,0.14718409236690186,,1864.3
,Gift Card,2,24,3,0,0.125,,27
,Cash,4,63.07,0,0,0,,63.07
,Other,,,,,,,
,Total,41,1721.91,232.46,0,0.1468477574226153,,1954.37
,,,,,,,,
,Credit Types,,,,,,,
,Amex,9,547.6,72.55,0,0.14032882011605416,,620.15
,Mastercard,5,289.12,41.88,0,0.15284671532846716,,331
,Visa,21,798.12,115.03,0,0.14977864583333333,,913.15
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,5,7,71,8,63,0,
,Desserts,2,2,24,2.4,21.6,1.3,
,Grab and Go Bar,,,,,,,
,Cold Drinks,5,8,33,0,33,1.98,
,Coffee Bar,1,1,3.5,0,3.5,0.21,
,Zero Proof- Bar,3,3,15,0,15,0.9,
,Entrees,,,,,,,
,Starters,13,19,201,7.78,193.22,11.59,
,White Wine,4,4,96,0,96,5.76,
,Red Wine,2,4,92,0,92,5.52,
,Beer,13,26,143,1.2,141.8,8.51,
,Spirits,2,2,31,0,31,1.86,
,Salads,12,13,188,0,188,11.28,
,Pasta,5,8,173,0,173,10.38,
,Pizza,16,22,604,27.11,576.89,34.61,
,No Category,0,,,,0,0,
,Total,,,1674.5,46.49,1628.01,93.90 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,8,35,442,3.6,438.4,26.31,
,Bar,11,41,476,0,476,28.56,
,Online Ordering,6,15,310,10.89,299.11,17.94,
,No Revenue Center,17,28,446.5,32,414.5,21.09,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,32,1134.9,,,,,
,Takeout,7,299.11,,,,,
,Take Out,4,194,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,93.9,1565.01,,,,
,Non Taxable,6,,63,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Comp Item,2,24,,,,,
,Rebel Bread,3,8,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Reward Dollars,1,10.89,,,,,
,Team 20%,1,3.6,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,16,$541.50,,,,,
,Dinner,23,$983.51,,,,,
,No Service,4,$103.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$19.00,2,2,1.2%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$63.07,,,,,
,Cash Adjustments,,$1.04,,,,,
,Cash before Tipouts,,$64.11,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$232.46,,,,,
,Total Cash,,$64.11,,,,,
