Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/22/23 6:20 PM,Unnamed: 8
2/19/23 - 2/19/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,298.15",$70.20,$0.00,$236.40,$0.00,"$2,604.75",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,113,116,308.25,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,76,1768.75,236.4,0,0.1358901841760364,,2005.15
,Gift Card,10,120.23,0,0,0,,120.23
,Cash,30,479.37,0,0,0,,479.37
,Other,,,,,,,
,Total,116,2368.35,236.4,0,0.12676894697046884,,2604.75
,,,,,,,,
,Credit Types,,,,,,,
,Amex,14,341.78,38,0,0.11269276393831554,,379.78
,Mastercard,19,400,63.69,0,0.16406914139982998,,463.69
,Visa,43,1026.97,134.71,0,0.13281735272368747,,1161.68
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,30,56,442,167.5,274.5,0,
,Breakfast Pastry,69,143,742,93.72,648.28,0,
,Breakfast Sandwiches,27,36,512,15.78,496.22,29.77,
,Cakes,,,,,,,
,Catering,,,,,,,
,Coffee Bar,51,65,292.5,12.65,279.85,16.79,
,Cold Drinks,11,12,51.9,0,51.9,0,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",22,41,156,2.6,153.4,0,
,Hot Sandwiches,19,26,410,16,394,23.64,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Salads,,,,,,,
,Red Wine,,,,,,,
,White Wine,,,,,,,
,Beer,,,,,,,
,Spirits,,,,,,,
,Pizza,,,,,,,
,Soup,,,,,,,
,Toasts & Tartines,,,,,,,
,No Category,0,,,,0,0,
,Total,,,2606.4,308.25,2298.15,70.20 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,7,28,233,0,233,8.64,
,No Revenue Center,109,351,2373.4,308.25,2065.15,61.56,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,40,951.92,,,,,
,Takeout,76,1346.23,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,70.2,1170.07,,,,
,Non Taxable,96,,1128.08,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Rebel Bread,7,17.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Bread Waste,1,130,,,,,
,Pastry Waste,1,77,,,,,
,Reward Dollars,6,41.75,,,,,
,Shift Meal,1,42,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,44,$826.14,,,,,
,Lunch,65,"$1,358.71",,,,,
,No Service,7,$113.30,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$479.37,,,,,
,Cash Adjustments,,$30.35,,,,,
,Cash before Tipouts,,$509.72,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$236.40,,,,,
,Total Cash,,$509.72,,,,,
