Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:22 AM,Unnamed: 8
3/14/23 - 3/14/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,737.32",$36.93,$0.00,$190.16,$100.00,"$2,064.41",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,101,103,461.53,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,61,1284.23,178.86,0,0.13852230483271377,,1463.09
,Gift Card,16,163.5,0,0,0,,163.5
,Cash,23,323.57,0,0,0,,323.57
,Other,,,,,,,
,Total,100,1771.3,178.86,0,0.12297770229852656,,1950.16
,,,,,,,,
,Credit Types,,,,,,,
,Amex,8,131.7,23.12,0,0.17305389221556888,,154.82
,Discover,1,20.18,3,0,0.15,,23.18
,Mastercard,20,467.09,73.68,0,0.15792519558461046,,540.77
,Visa,32,665.26,79.06,0,0.11781536398181955,,744.32
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Paid In Total,-$4.95
,,,,,,,,
,,,,,,,Deposit Sales Collected,$109.30
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,30,53,362.5,90.05,272.45,0,
,Breakfast Pastry,48,132,884,268.65,615.35,0,
,Breakfast Sandwiches,14,18,247,27.59,219.41,13.15,
,Cakes,,,,,,,
,Catering,,,,,,,
,Coffee Bar,31,37,174.85,11.6,163.25,9.8,
,Cold Drinks,7,9,40.5,10.34,30.16,1.22,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",20,40,228,4,224,0,
,Hot Sandwiches,13,17,262,49.3,212.7,12.76,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Salads,,,,,,,
,Red Wine,,,,,,,
,White Wine,,,,,,,
,Beer,,,,,,,
,Spirits,,,,,,,
,Pizza,,,,,,,
,Soup,,,,,,,
,Toasts & Tartines,,,,,,,
,No Category,0,,,,0,0,
,Total,,,2198.85,461.53,1737.32,36.93 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,3,11,128,0,128,0.96,
,No Revenue Center,98,295,2070.85,461.53,1609.32,35.97,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,27,449.55,,,,,
,Takeout,76,1287.77,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,36.93,615.52,,,,
,Non Taxable,84,,1121.8,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,3,6,,,,,
,Rebel Bread,15,45.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Pastry Waste,2,225,,,,,
,Reward Dollars,8,63.83,,,,,
,Shift Meal,1,119.2,,,,,
,Team 20%,1,2,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,33,$659.86,,,,,
,Dinner,11,$117.00,,,,,
,Lunch,51,$826.66,,,,,
,No Service,8,$133.80,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$26.00,3,3,1.5%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$323.57,,,,,
,Cash Adjustments,,$6.73,,,,,
,Cash before Tipouts,,$330.30,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$178.86,,,,,
,Total Cash,,$330.30,,,,,
