Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:31 AM,Unnamed: 8
4/1/23 - 4/1/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,286.33",$62.20,$0.00,$239.35,$50.00,"$2,637.88",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,129,130,386.72,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,79,1852.36,239.35,0,0.12647559261490335,,2091.71
,Gift Card,15,153.75,0,0,0,,153.75
,Cash,33,440.42,0,0,0,,440.42
,Other,,,,,,,
,Total,127,2446.53,239.35,0,0.1169843597262952,,2685.88
,,,,,,,,
,Credit Types,,,,,,,
,Amex,6,220.64,24.78,0,0.11419354838709678,,245.42
,Discover,1,19.08,0,0,0,,19.08
,Mastercard,23,432.7,60.26,0,0.13078676071622355,,492.96
,Visa,49,1179.94,154.31,0,0.12894519139975433,,1334.25
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Paid In Total,$48.00
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,32,68,368,88.88,279.12,0,
,Breakfast Pastry,58,124,856,205.35,650.65,0,
,Breakfast Sandwiches,23,33,460,12.15,447.85,26.87,
,Cakes,,,,,,,
,Catering,,,,,,,
,Coffee Bar,46,59,263.65,16.77,246.88,14.01,
,Cold Drinks,3,4,19.4,4.1,15.3,0.92,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",33,63,335,28.39,306.61,0,
,Hot Sandwiches,15,22,337,31.08,305.92,18.36,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Salads,,,,,,,
,Red Wine,,,,,,,
,White Wine,1,1,12,0,12,0.72,
,Beer,3,4,22,0,22,1.32,
,Spirits,,,,,,,
,Pizza,,,,,,,
,Soup,,,,,,,
,Toasts & Tartines,,,,,,,
,No Category,0,,,,0,0,
,Total,,,2673.05,386.72,2286.33,62.20 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,2,3,48,0,48,2.88,
,No Revenue Center,127,375,2625.05,386.72,2238.33,59.32,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,43,969.2,,,,,
,Takeout,87,1317.13,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,62.2,1036.95,,,,
,Non Taxable,104,,1249.38,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,7,18,,,,,
,Rebel Bread,15,42,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,3,15,,,,,
,Pastry Waste,1,158,,,,,
,Reward Dollars,11,109.12,,,,,
,Shift Meal,1,39.1,,,,,
,Team 20%,1,5.5,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,36,$649.40,,,,,
,Dinner,13,$134.45,,,,,
,Lunch,73,"$1,362.98",,,,,
,No Service,8,$139.50,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$6.00,1,1,0.3%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$440.42,,,,,
,Cash Adjustments,,$2.70,,,,,
,Cash before Tipouts,,$443.12,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$239.35,,,,,
,Total Cash,,$443.12,,,,,
